1. ORT, 9.8
#Naruto - One of the Tailed Beasts, as the one tail, Shukaku is a tailed beast whose body is entirely made up of sand. Shukau has strength befitting his massive frame and his sand physique makes him resistant against physical blows. In addition, Shukaku is capable of creating and controlling sand, wind and magnetism, making him incredibly versatile he can also use sealing techniques to supplement his ability. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
125. Matatabi,5.8
#Naruto - One of the tailed beasts, as the two tails, Matatabi takes the form of a giant nekomata on blue fire. Matatabi has strength befitting his massive frame in addition, Matatabi is capable of creating and controlling fire to utilize a variety of techniques. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
126. Isobu,5.6
#Naruto - One of the tailed beasts, as the three tails, Isobu takes the form of a giant red and white turtle with a spiky carapace shell. Isobu has strength befitting his giant frame, and agility unbefitting of his frame, he also has exceptional strength. Isobu is capable of creating and controlling water to utilize a variety of techniques, he can also open gates to its pocket space at will. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
127. Son Goku,5.8
#Naruto - One of the tailed beasts, as the four tails, Son Gokū takes the form of a giant monkey with octopus tails. Son Gokū has strength befitting his massive frame with exceptional physical prowess. In addition, he is able to create and control fire and earth at will, often using them in tandem to create volcanic eruptions and spew lava. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
128. Ten-Tails,8.0
#Naruto - Ten-Tails can only be described as a primordial god, he embodies all life at the beginning of creation, a being created from pure natural energy, and sensing ability cannot distinguish between him and the environment. He has immense physical prowess with his size that can dwarf mountains with speed that makes sound seem slow. He can unleash country annihilating Bijuu Bombs without rest and use techniques to unleash world-spanning disasters. Destruction incarnate. As a tailed beast, he is immortal and will revive upon death, he can also fuse with a person to grant them his abilities.
129.Suu,3.5
#(Character)Monster Musume - Suu is a female slime girl, as a slime girl she is mostly invulnerable to physical strikes and is capable of absorbing and digesting organic matter. In addition, she can freely shapeshift her body and expel poison from her body to paralyse people. Lastly, she can change her body composition according to whatever she absorbs.
130.Sylvia,5.8
#(Character)Konosuba - As a female growth chimera(Unnecessary appendage removed) Sylvia is capable of absorbing other beings into her body to gain their physical characteristics and grow stronger. In her base form, she is already pretty physically strong in addition to her knowledge of basic magic.
131.Alucard,6.0
#(Character)Hellsing - He(?) has many names, Alucard, Dracula, Vlad, but now it's Alucard. He is the first and strongest vampire, being made of a primordial dark matter that he can freely shapeshift into whatever form he likes. He has immense physical strength and all abilities associated with vampires are taken to the extreme. When his full power is released he can absorb the souls of those he drains to either absorb a portion of their power or use them as his undead army. However, his strength is limited by the Restraint Levels placed upon him, to release a restraint level you must be stronger than the current level of Alucard. By default, she has chosen to take the form of Girlycard, gender and body matter little when you are a thousand-year-old vampire after all.
132. Seras Victoria,5.1
#(Character)Hellsing - A former police officer girl now a Draculina sharing the blood of Dracula. As a true vampire, she has incredible physical abilities and the ability to drain the blood and essences of those she attacks. In addition, if she were to unlock her full abilities she could absorb the souls of those she drains to either absorb a portion of their power or use them as necromancy summons.
133. Vlad Dracula,7.2
#(Character)Hellsing - Alucard, The Immortal King, the Crimson Fucker, the No-Life King, without any of the of the paltry restraint levels, you the full power of the Mythical Alucard with all of his immortal army, his over 100,000 lives, his amorphous dark matter body, his ability to control blood and absorb the souls of those he drinks to add to his army etc. 
134. Nihilego,4.0
#Pokemon - A Parasitic jellyfish-like create that dwells in the ultra-deep sea, capable of parasitizing a host without being detected to inject them with their unique neurotoxin, making it so that their inhibitions are released and subtly altering their thoughts to their own needs. Nihilego as an ultra beast is quite powerful itself, having powerful geokinetic abilities and the ability to generate and release poison.
135. Buzzwole,3.8
#Pokemon - A large and muscular bug Ultra Beast that dwells in the Ultra Jungles, Buzzwole is capable of absorbing energy from his proboscis to strengthen his body with the energy absorbing, resulting in its immense physical power and tougher than steel muscles.
136. Darkrai,5.2
#Pokemon - A legendary Pokemon said to be capable of altering dreams and devouring them. Darkrai is living darkness incarnate, being able to turn into a shadow, and control darkness in physical form with extreme power befitting its status. He is also capable of entering the dream world and altering dreams of devouring them to kill whoever's dreams he devours.
137. Shuten Douji,5.8
#(Character)Fate - Shuten Douji is the ruler Oni of the Mount Ooe, she is also the Daughter of Yamato No Orochi, making her a minor Demi-god. As a powerful Oni Shuten possesses unrivalled physical strength and endurance as well as the ability to expel flame with her mana. Her signature ability is that she can get people drunk and even charm them with just her presence or expelling her breath. By unleashing her noble phantasm she can use the incredibly potent poison in her gourd and even store targets inside of it. She can also somehow debone people without making them bleed. As a Heroic Spirit, she is only as strong as the amount of mana her master gives her.
138. Ibaraki Douji,4.8
#(Character)Fate - Ibaraki Douji, a famous subordinate of Shuten Douji, she is a fierce one with immense physical power and wields a large cursed bone sword. As a powerful Oni, she is also capable of unleashing sweltering and crushing flames. By unleashing her noble phantasm she is capable of releasing a hand to act independently and grow in size or unleashing even fiercer flames to char enemies. As a Heroic Spirit, she is only as strong as the amount of mana her master gives her.
139. Tamamo no Mae,5.5
#(Character)Fate - A fragment of the Goddess of the Sun Amaterasu in the form of a Kitsune who specializes in course craft. Tamamo is an accomplished mage who is a master of Japanese curse craft, being able to invoke a magnitude of curses such as immolation, freezing, lightning, bad luck etc. If she manages to get stronger and acquire more magical power she will slowly metamorphosize back into the form of Amaterasu and gain more tails. As a Heroic Spirit, she is only as strong as the amount of mana her master gives her.
151.King Nothing,2.5
#JoJo - A purple hollow humanoid spirit made out of jigsaw pieces, King Nothing has little to no combat power but his ability to track scents is unmatched, any scent it grabs, it tracks down by following it or it can simply memorize the scent for later. It can also reconstruct visuals by rearranging its jigsaw pieces, making it an excellent tracker. 
152.Spider Demon Mother,3.8
#(Character)Demon Slayer - A high-rank demon with Blood Art resembling a spider. As a demon, she has superhuman physical ability and regeneration but has extreme light vulnerability like a vampire. In addition, her Blood Art allows her to turn her flesh into extremely durable strings she can control and puppet people with.
153.Muzan,5.9
#(Character)Demon Slayer - As the first progenitor demon, Muzan has incredible biokinetic abilities, being able to freely shapeshift and assimilate biomatter as extreme regenerative immortality, but he has extreme vulnerability to light and holy. In addition, Muzan can turn other creatures into demons by granting them his blood.
154.Mukago,3.6
#(Character)Demon Slayer - As a high-rank demon, Mukago has incredible physical abilities and regeneration but a severe vulnerability to light. In addition, her Blood Art allows her to control plants in her vicinity as if they were a part of her body.(A/N: Based off the fact that her name is a plant)
155.Daki,4.0
#(Character)Demon Slayer - As one of the Upper Moon demons, Daki has incredible physical abilities and regeneration but a severe vulnerability to light. Her Blood Art allows her to manifest extremely durable obi from her flesh that she can freely control and even detach to act as a sentient minion.
156.Nakime,5.1
#(Character)Demon Slayer - As one of the Kizuku, Nakime has formidable physical strength and regeneration, although lacking compared to her peers. Her Blood Art manifests as a pocket dimension called the Infinity Castle under her control, Infinity Castle is an infinite realm of the inside of a wooden medieval Japanese castle. She can create portals to this realm in the form of sliding wooden doors she can manifest on any surface she can perceive.
157.Kokushibo,4.6
#(Character)Demon Slayer - As the strongest Upper Moon Demon, Kokushibo has incredible physical abilities and regeneration but a severe weakness to light and holy. Kokushibo is an extremely skilled swordsman coupled with his demon abilities.
158.Douma,4.2
#(Character)Demon Slayer - As one of the Upper Moon demons, has incredible physical abilities and regeneration but a severe weakness to light and holy. Douma's Blood Art grants him great cryokinetic abilities. 
159.Tionishia,2.6
#(Character)Monster Musume - Tionishia is a female ogress with military and police training. As an ogress, she has immense strength, stamina and endurance. But contrary to her intimidating stature she is quite motherly.
160.Rachnera Arachnera,2.9
#(Character)Monster Musume - Rachnera is a female Arachne with skills in a variety of fields. As an Arachne, she has a large body and enhanced physical stats as well as the ability to produce stronger than steel silk on demand. She is also a master seamstress capable of weaving fashionable clothes in seconds.
161.Doppel,2.9
#(Character)Monster Musume - Doppel is a female(?) doppelganger with military and police training. As a doppelganger, she is capable of turning her body into that of any living creature and clothes she has seen but does not affect her stats as she is not much stronger than a baseline human. 
162.Spleunker Fairy,3.8
#A lesser fairy that appears like a spot of glowing yellow light. This Fairy has the ability to find and uncover wealth and treasures. It can point you towards the nearest bar of gold, or an item you are looking for as long as its within its ability to find the ability. It cannot give detailed directions and desciptions.
163.Dio Brando,4.2
#(Character)JoJo - Dio Brando, son of a petty thief who achieved Vampirism through the stone mask. As a vampire Dio is capable of absorbing lifeforce, granting Vampirism, creating undead, grafting flesh and manipulating his own body. In addition, Dio is a genius and extremely skilled as a vampire.
164.DIO,5.4
#(Character)JoJo - DIO, after a very long time under the sea the former hotheaded vampire has become wise and after being stabbed with the Stand Arrow he has developed The World. As a Vampire DIO is massively superhuman, can regenerate by drinking blood, manipulate his own body and create thralls. In addition, he possesses the stand The World, a phantom with similar physical abilities to him that can stop time for upwards of 10 seconds. 
165.The Pillar Men,5.2
#(Character)JoJo - You get the three pillar men with you, Whamuu, Esidisi and Kars. The pillar men are thousands of years old super vampires that can freely absorb people, regenerate and manipulate their own bodies in exchange for being vulnerable to sunlight. Esidisi is a master strategist, Whamuu is a genius warrior and Kars is a genius intellect.
166.Kars,4.9
#(Character)JoJo - Kars is the first true pillar man who unlocked his potential after inventing the stone mask. As a pillar man, he is thousands of years old, can absorb biological matter and manipulate his own body but is vulnerable to sunlight. He is a genius intellect and warrior.
167.Esidisi,4.2
#(Character)JoJo - Esidisi is a pillar man, a super vampire that is thousands of years old. As a pillar man, he is thousands of years old and can absorb biological matter and manipulate his own body but is vulnerable to sunlight. In addition, he is a great strategist and tactician.
168.Whamuu,4.4
#(Character)JoJo - Whamuu is a pillar man, a super vampire that is thousands of years old. As a pillar man, he is thousands of years old and can absorb biological matter and manipulate his own body but is vulnerable to sunlight. In addition, he is hailed as a fighting prodigy.
169.Ultimate Kars,5.8
#(Character)JoJo - Kars the former pillar man who has managed to acquire the form of a perfect lifeform. As a perfect lifeform, Kars can freely manipulate his body and biology as well as spawn independent entities from his flesh. On top of that, he is an incredible genius who can master most topics rather quickly.
170.Master Hewg,4.5
#Elden Ring - A rough misbegotten blacksmith who was so skilled he was ordered even by Marika herself. Hewg is one of the most expert blacksmiths, being able to forge most weapons and upgrade any weapon given to him provided you have the materials. His dream is to forge a weapon that can slay a god and he is capable of it.
171.Parthunaax,4.7
#Skyrim - One of the strongest and oldest of the dragons in Tamriel and the former right hand of Alduin, Parthunaax is a powerful dragon, but after casting away his former domineering nature he has become a wise sage, and is capable of teaching the Thu'um and other arts to those willing to learn. This doesn't mean however that he himself is weak.
172.Durnhevir,4.1
#Skyrim - An undead necromancer dragon that once served Alduin before being trapped in the Soul Cairn. As a dragon hailing from Tamriel Durnhevir is powerful but his true power comes from the art of necromancy he has cultivated.
173.Neferpitou,5.2
#(Character)Hunter x Hunter - As a Chimera Ant Royal Guard, Pitou is an extremely powerful Nen user with a massively superhuman physique and agility as well as incredible mastery over Nen. Alongside her extreme sensory abilities, she possesses the ability to puppeteer corpses to use as minions and summon Doctor Blythe, a potent healing ability that requires her to stand still and lower her guard to restore a target over time. Her trump card allows her to puppeteer her own body to strengthen herself.
174.Nemesis,3.7
#Resident Evil - A modified tyrant bioweapon created by the Umbrella Corporation. Tyrant possesses massively superhuman stats and great regeneration, being able to survive as long as he has enough living cells left. But its greatest strength is its ability to rapidly mutate and adapt. No, not anywhere close to Mahoraga levels.
175.Grimm Wyvern,5.0
#RWBY - A gigantic Grimm Wyvern, as a Grimm the Wyvern can sense and track negative emotions. Its gigantic size makes it a powerful mount being strong enough to sink warships. In addition, it can release Grimm fluid that spawns lesser Grimm that it can command.
176.Alcina Dimitrescu,4.2
#(Character)Resident Evil - Alcina is a former feudal lord who was transformed by a bioengineered parasite that fused with her body, granting her extreme regeneration, enhanced physical stats and shapeshifting. Although she does require regular intake of blood to function despite not being a vampire.
177.Lust,3.0
#(Character)Fullmetal Alchemist - A homunculus created by father branded with the sin of lust. As a homunculus, Lust has enhanced stats compared to a human. In addition, the philosopher's stone implanted in her as her core keeps her immortal by regenerating her whenever she dies by consuming one of the souls inside as fuel. She has the ability to turn her fingertips into long and almost monomolecular sharp flexible claws that she uses with expertise.
178.Darkbeast Paarl,2.4
#Bloodborne - A dark beast that has reanimated itself from the dead. As a large skeletal monster, Paarl is strong enough to demolish walls and is immune to conventional weapons, even high-calibre bullets. In addition, Paarl can generate and release electricity from its body at will.
179.Kirin,4.0
#Monster Hunter - A legendary dragon(?) Kirin resembles the mix of a unicorn, a lion and a dragon. Kirin is extremely fast and physically mighty, but its main ability is to summon down bolts of lightning at will in addition to its immunity to lightning.
180.Valstrax,5.0
#Monster Hunter - A legendary elder dragon, Valstrax is referred to as the Sky Comet Dragon, for good reason. In addition, being a mighty dragon, he has unique wings that allow it to expel the dragon element alongside to turn them into what are essentially dragon magic jet engines. It is strong enough to break sound several times over as a living dragon jet fighter.
181.Mimikyu,3.0
#Pokemon - A mysterious entity hiding beneath a shabby costume of another Pokemon in hopes of being loved and accepted due to its real appearance under the disguise being a severe cognito hazard. Mimikyu is capable of creating and controlling shadow constructs to attack and defend.
182. Wooloo,1.5
#Pokemon - Wooloo is the sheep Pokemon, which means it is a supernaturally cute and strong sheep with super luxurious wool that grows back entirely within 5 days compared to the average Wooloo. Despite being a powerful beast it has no combat instincts or skill so don't expect combat from it.
183. Cazador,3.0
#Fallout New Vegas - Cazadors are insects biogenetically engineered by Dr. Borous. They are faster than cars, tough enough to tank .50 calibre bullets, ruthless, roughly the size of a man, strong enough to tear apart a grown man and with venom potent enough to bring any man to their knees. And they reproduce very rapidly if given enough protein sources. You get 4 breeding pairs.
184.Nick Valentine,2.5
#(Character)Fallout 4 - Nick is a synthetic human detective. As a Synth, he is slightly stronger than the average man but possesses great accuracy with guns and is highly skilled at interfacing with technology. As expected by a detective, Nick is good at reading people, and investigations and giving advice from his years as a detective in a post-apocalyptic wasteland.
185.Potato GLaDOS,2.3
#(Tech)Portal - Glados is a highly advanced AI that contains an immense amount of data from Aperture Labs and is capable of interfacing with any system and mainframe she is put into. She is capable of building technology too but... she is stuck in a potato. So you will have to find a way to supply her with the technology first. 
186.Yes Man,1.8
#(Tech)Fallout New Vegas - Yes Man is a reprogrammed RobCo brand Securatron. As an AI Yes Man is capable of interfacing with technology and writing code when provided with the right materials. While not very impressive his body is armed with guns strong enough to protect itself. And by its namesake, Yes Man is physically incapable of saying no. Fortunately, this only applies to you.
187.CZ2128 Delta,3.8
#(Tech)(Character)Overlord - Or Shizu Delta for short is an Automaton Sniper Maid. Shizu is an expert marksman, being able to use most ranged weapons with great skill, especially the ones she comes equipped with, her body also has the functions of an automaton as well. her skills as a maid is... questionable.
188.Narberal Gamma,4.1
#(Character)Overlord - Narberal Gamma is a Doppelganger Maid who specialises in Wind and Elemental Magic. Although her skills as a doppelganger are lacking, she is a very skilled magician. She is also an extremely competent maid.
189.Yuri Alpha,3.9
#(Character)Overlord - Yuri Alpha is the vice leader of the Pleiades and a Dullahan Monk/Pugilist with proficiency in Fa Jin. She is a very powerful close-quarters combatant who can also employ basic magic. She is also an extremely competent maid.
190.Carla,4.5
#(Character)Fairy Tail - Carla is a white Exceed, a race of catlike beings. She is capable of flight magic and is a capable melee combatant in human form. She also has the ability to use precognition to see potential upcoming futures but she will need training to be able to use it properly.
191.Daisy,0.2
#Doom - A cute, if not unremarkable brown pet rabbit named Daisy. Despite being the former pet rabbit of the Doom Slayer it is still just a regular brown rabbit.
192.Dogmeat,1.7
#Fallout - Man's most dedicated companion. Dog Meat is a very capable and well-trained German Shepherd who is... seemingly immortal. He can track scents and has considerable intelligence for his species.
193.Liberty Prime,5.6
#Fallout - "Democracy is non-negotiable" A pre-war super weapon created by America. Liberty Prime is a large anti-communist mech equipped with armour that laughs in the face of anything below a ballistic missile and the strength to treat a superhuman behemoth like a toddler. Laser Gatlings that can be concentrated into one death beam, and chucks mini nukes like footballs. Liberty's energy and ammunition are refreshed every 24 hours. That includes 8 Mini Nukes.
194.Toaster,2.7
#Fallout: Old World Blues - An extremely high tech toaster created by the genius minds in the Big MT. The toaster is capable of granting heating capabilities to technology and expertly disassembling technology into working parts... somehow. And its personality is coded to be a genocidal maniac who wants to burn the world down.
195.Taurus,2.8
#(Character)Fairy Tail - Taurus is a Celestial Spirit, representing the Taurus constellation they have immense physical abilities that they use to wield an axe with, being quite proficient in melee combat. As a Celestial Spirit their form is liable to change between users. As a Celestial Spirit, they are immortal and her power scales with her owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
196.Aquarius,3.8
#(Character)Fairy Tail - Aquarius is a Celestial Spirit, representing the Aquarius Constellation. She has fair physical ability but her true strength lies in her potent Water Magic. As a Celestial Spirit, she is unable to be killed by normal means and her power scales with her owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
197.Cancer,2.7
#(Character)Fairy Tail - Cancer is a Celestial Spirit, representing the Cancer Constellation. Cancer's main ability is being a godly hairdresser and possessing incredible agility and dexterity, being able to give an entire group a haircut before they even notice it, they also possess hair magic. As a Celestial Spirit their form is liable to change between users and they are immortal and their power scales with their owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
198.Virgo,3.5
#(Character)Fairy Tail - Virgo is a Celestial Spirit, representing the Virgo Constellation. She takes the form of a maid with considerable physical prowess and skill in Earth Magic. She is also a massive masochist which aids her endurance. As a Celestial Spirit, she is unable to be killed by normal means and her power scales with her owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
199.Aries,3.0
#(Character)Fairy Tail - Aries is a Celestial Spirit, representing the Aries Constellation. Aries, while not a very skilled melee combatant is a master in wool magic, being able to conjure and control wool. As a Celestial Spirit, she is unable to be killed by normal means and her power scales with her owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
200.Libra,3.4
#(Character)Fairy Tail - Libra is a Celestial Spirit, representing the Libra Constellation. Libra is a capable melee fighter but her real strength lies in her mastery over gravity magic, being able to change the weight of her targets at will. As a Celestial Spirit, she is unable to be killed by normal means and her power scales with her owners.(Celestial spirits exist in Familiar Space instead of Celestial Realm by default unless Author decides otherwise)
201.Stray Cat,2.0
#JoJo - A plant... cat...? Creature of sorts, Stray Cat is a feline whose soul fused with a plant. Stray Cat is capable of Aerokinesis, allowing them to launch invisible air bullets stronger than regular bullets or use bubbles as very dense shields. But they get very sleepy when covered by darkness.
202.Ship,4.8
#(Tech)Ben 10 - Ship is an adolescent Galvanic Mechamorph, possessing all of their abilities to a lesser extent. He possesses an amorphous body that can merge with any technology to possess it and reconfigure it while improving its powers.
203.Zs Skayr,6.7
#Ben 10 - Zs Skayr is a High Ecto Lord ruling over Ectonurites. As a High Ectonurite, he is an extremely powerful ghost, having formidable physical strength, being able to freely fly, phase through physical objects, possess living beings, use telekinesis and manipulate dark energy to use as projectiles.
204.Vulpimancer,3.5
#Ben 10 - A large bestial orange alien canine with quil-like fur, they are larger than the average man and have superhuman human physicals enough to shred steel like cardboard and extreme athletics. Despite being blind Vulpimancers have a sense of smell and hearing that far surpass any mundane being, being able to track scents across cities and being able to distinguish smells to extreme levels to the point of possessing a 360-degree sensory range from their sense of smell.
205.Null Guardians,4.0
#Ben 10 - A pack of beings originating from the Null Void. They are giant tentacled flying beastlike creatures capable of firing beam breaths and sensing and tracking Mana/Energy signatures. You start with 1 guardian, and get more under your command in relation to your maximum energy levels. If a Null Guardian dies you can recover them over time.
206.Herbie,1.2
#The Love Bug - Herbie is a sentient and self-driving Volkswagon Beetle with unusually great performance better than it should be capable of. He will slowly repair himself when unsummoned in the case of getting damaged.
207.Iron Golem,2.8
#Hota - Stone Golems created from a mix of excellent craftsmanship and magic. Iron Golems are very resistant against magic and have incredible defence paired with powerful physical abilities, being able to tear a grown in half with ease. You start with 4 golems and are able to summon more scaling with your Maximum energy levels and physical abilities.
208.Diamond Golem,4.1
#Hota - Diamond Golems created from a mix of incredible craftsmanship and magic lost to the modern ages. Diamond Golems are unbelievably durable, being downright immune to most mundane arms below missiles and are mostly immune to all magic below Epic tier. They are also very capable of tearing steel with their bare hands. You start with 4 golems and are able to summon more scaling with your Maximum energy levels and physical abilities.
209.Regirock,4.6
#Pokemon - Regirock is an ancient Pokemon formed from stones created in the image of Regigigas. Regirock is incredibly durable and has great physical stats, in addition, they are able to release beams of destructive energy and possess Geokinetic abilities. When they are damaged, Regirock can repair themselves by assimilating the rocks they find.
210.Regice,4.9
#Pokemon - Regice is an ancient Pokemon formed from the coldest glaciers in the Arctic by Regigigas. Regi is resistant against magic and possesses potent cryokinetic abilities, being able to fire out freezing beam attacks, create and manipulate frigid freezing winds and much more. If they are damaged they can assimilate more ice into their body to heal.
211.Registeel,4.3
#Pokemon - Registeel is an ancient Pokemon formed from alien metal by Regigas. Due to having its body tempered by tens of thousands of years by the pressure of the planet Registeel's metal body is incredibly difficult to damage. Registeel is capable of firing powerful beams of destructive energy and unleashing metal and electrokinetic attacks from its body. In the event they are damaged, Registeel will slowly repair their body over time.
212.Regigigas,7.2
#Pokemon - Regigigas is an ancient titan that used to be worshipped by humanity standing as large as the mountains themselves. Regigigas is known as the continent puller, and its strength and durability do justice to this fact. In addition, Regigigas can unleash powerful beams of mass destruction and surprisingly can craft golems like the Regi's out of natural materials of the world.
213.Jigglypuff,2.8
#Pokemon - An incredibly cute furry creature, Jiggly is a talented actor and singer, its real power lies in its ability to sing lullabies and songs that can put whoever hears them to sleep. The stronger a target is in relation to Jigglypuff the less they are affected.
214.Rajang,4.6
#Monster Hunter - Nightmare berserker lightning gorrilla. Rajang is the ultimate primate, having the form of a giant gorilla with chimeric attributes. Rajang is incredibly physically strong, being able to crush the skull of a dragon with their bare hands and get stronger the angrier to the point where they can wrestle elder dragons. They are also able to harness the power fo lightning to let out devasting lightning breaths. Forget a 100 men, this thing can probably kill 1,000,000.
215.Skeleton Band,1.6
#This band is bad to the bone. It is a conglomerate of skeletons capable of playing any instrument with fair skill and supplied with full band equipment. They are completely incapable of combat or harming but are also incapable of being targeted by harm. Just summon them and choose the jam they should sing and dance to. If they get hit by an attack they will fall apart comically before reforming to perfect condition in less than a second and resume their song without interruption.
216.Bad Company,3.4
#(Tech)JoJo - A small yet deadly army under your command. Bad Company is an entire army of toy-sized soldiers and equipment like tanks, missile batteries, aircrafts etc. The army can act independently from you and increase in size according to your maximum energy reserves. Any destroyed soldier and equipment gradually restores itself in the familiar space. Maximum army size is dependent on maximum energy reserves.
217.Harvest,3.7
#JoJo - Harvest is a colony of little creatures with excellent coordination and mechanical skills as well as deceptive strength. Harvest excels in gathering stuff like materials or objects. They can dig, swim, scour, and move extremely quickly in addition to their searching skills. Any destroyed harvest gradually restores itself in the familiar space. Maximum colony size is dependent on maximum energy reserves.
218.Petshop,4.0
#JoJo - A ruthless, fearless, psychopathic, competent, intelligent and fiercely loyal Falcon with a stand. Petshop possesses the stand Horus, granting them cryokinetic abilities like shooting ice spikes, dropping large ice boulders etc. They are also a very fierce and competent combatant.
219.Anubis,4.7
#JoJo - Anubis is a spirit housed in an ornate strange katana. Anubis has the ability to make the blade of its sword pass through physical barriers and cut what is beneath, rendering traditional defences useless. In addition, Anubis is capable of adapting and learning incredibly quickly to counter opponents and become stronger. Anubis is capable of taking control of anyone who unsheathes the blade but is also capable of guiding their wielder if they wish to.
220.Monstra,6.6
#RWBY - The apex grimm, more akin to a moving small city than an actual creature. Monstra is a titanic sperm whale like Grimm 900 meters tall and 7000 meters long with mostly hollow insides that can fit castles and entire towns inside with some refurbishing. Monstra is capable of floating due to the gravity of dust in its body and is capable of withstanding its own mass, making it impervious to anything below nuclear arsenals. In addition, it can freely spew out Grimm liquid to spawn Grimm also under the user's command.
221.Mizutsune,3.5
#Monster Hunter - A fierce leviathan monster that is also capable of living and fighting on land. As a leviathan Mizutzune has formidable physical abilities being able to shred any metal with ease with their claws. In addition, Mizutsune are capable of breathing a soap-like substance from their mouths that can immobilize opponents. 
222.Shalltear Bloodfallen,6.8
#(Character)Overlord - Shalltear was one of the Floor Guardians of Nazarick and a True Vampire Valkyrie created with the blood of a vampire god. She is exceptional as both a physical and magical fighter, thanks to her plethora of abilities as a vampire and Valkyrie. She can use hemokinesis, elemental magic, charms, holy magic, and much more. She can also turn others into vampires as a True Vampire herself. (A/N:No time stop)
223.Albedo,5.7
#(Character)Overlord - Albedo was one of the Floor Guardians of Nazarick and a... virgin succubus dark knight? Albedo is the true example of a tank, she has exceptional physical abilities, being able to destroy the walls of a fortress with one blow and incredible defence to the point that anything below a small nuclear bomb would it find to hurt her thanks to her multitude fo defensive abilities and skills. In addition, she can use basic magic and has exceptional intelligence as well as competence in most skills a wife would need to have. 
224.Cure Elim Los Malvar,7.3
#Overlord - Cure Elim is the Elder Coffin Dragon Lord, Cure Elim is close to the pinnacle of Necromancy. As a Dragon Lord, they already have incredible stats but CureCure Elim's necromancy is their true power. Elim is capable of using unique wild magic to absorb the souls of others to use to fuel his wild magic. They are capable of absorbing the souls of entire cities and turning every single inhabitant into undead. Poses near perfect control over their undead regardless of number, use a variety of powerful wild magic, and unleash a breath attack that can annihilate anything in its path including souls. Cure Elim is truly near the pinnacle of undeath.
225.Kenjaku,6.0
#(Character)Jujutsu Kaisen - Kenjaku is a several century-old Cursed Sorcerer whose ability allows himself to exist as a brain that can take over corpses to make them his new body and allow him to use their powers with his own expertise. He is a master of JuJutsu, making him a formidable ally and eve a master. But he is just a brain right now, you will need to find him a suitable body first.
226.Mahito,6.9
#(Character)Jujutsu Kaisen - Mahito is the Cursed Spirit born of the hatred of humans between themselves. Mahito is a cursed spirit capable of using jujutsu and his technique Idle Transfiguration to manipulate any soul he can touch and by proxy their bodies using it. This also renders him immune to any non-soul-based attack as long as he still has energy.
227.Hanami,5.7
#(Character)Jujutsu Kaisen - Hanami is the Cursed Spirit born from the concept of nature. As a Special Grade Cursed spirit, Hanami is incredibly skilled in Jujutsu and has considerable power. Hanami's cursed technique allows them to create and control cursed plant life and nature, even their more esoteric properties. 
228.Jogo,5.9
#(Character)Jujutsu Kaisen - Jogo is the Cursed Spirit born from the concept of wildfires and volcanoes. As a Special Grade Cursed Spirit Jogo is incredibly skilled in Jujutsu and has considerable power. His power allows him to create and control fire and lava as well as other flame-based constructs.
229.Dagon,5.5
#J(Character)ujutsu Kaisen - Dagon is the Cursed Spirit born from the concept of the ocean and seas. As a Special Grade Cursed Spirit Dagon is incredibly skilled in Jujutsu and has considerable power. His cursed technique allows him to summon and control water as well as manifest the domain Horizon of the Endless Skanda which can either be used for leisure or an offensive domain.
230.Nrvnqsr Chaos,7.6
#(Character)Tsukihime - Nrvnqsr Chaos is a dead apostle ancestor whose unique biology is made up of 666 beasts formed from the formless mud of life. He is the beasts themselves and shares his existence with all of them, making him immortal unless all beasts are dead. In addition, he can replace his beasts by absorbing other living beings, adding their abilities into himself and being able to release them as a beast too. Any beast of his that dies can be recovered after being absorbed into him.
231.Pepsi Man,0.9
#Pepsi - Pepsi Man, gives Pepsi whenever he can! When summoned Pepsi arrived at your location through any means before delivering everyone in the location a fresh can of Pepsi before disappearing. 8-hour cooldown. Note: This familiar is not sponsored by the Pespi Corporation. 
232.Nashrah,4.7
#(Character)Fear and Hunger - Nashrah, once known as the Doom and Terror of the modern man left as a floating disembodied immortal head. Nashrah is an extremely powerful wizard specializing in Blood Magic and Pyromancy as well as rituals. Despite his incredibly foul behaviour, he has considerable wisdom and knowledge. Luckily his loyalty is enforced by the gacha even if his vulgarity remains. Regardless, you get to reroll the ticket you rolled him on for free to not have to deal with him.
233.Leviathan,6.1
#Worm - A Shard Superweapon reformed by Chaos, Leviathan is an incredibly powerful Hydrokinetic, capable of manipulating water that is not part of a biological entity across a massive or a really small scale with incredible precision, being able to sink entire cities alongside his formidable physical abilities paired with the freakish durability of an Endbringer(A/N: Scaled down to country level).
234.Simurgh,7.0
